name	index	f
Q16539	0	0
Q9UHD2	1	0
Q14164	2	0
Q9BYP7	3	0
O00444	4	0
Q16654	5	0
Q8NG66	6	0
Q5TCY1	7	0
Q92918	8	0
Q9Y4K4	9	0
P51957	10	0
Q9NRH2	11	0
Q15118	12	0
Q8N4C8	13	1
O95382	14	0
Q8IVH8	15	0
O15111	16	0
Q15835	17	0
Q96RG2	18	0
O14920	19	0
Q9Y2H1	20	0
P32298	21	0
Q6IQ55	22	0
Q13233	23	0
O95835	24	1
Q99683	25	0
Q9HCP0	26	0
Q9NRM7	27	0
Q9UK32	28	0
O00311	29	0
Q9BQI3	30	0
P37173	31	0
P33981	32	0
Q9UKI8	33	0
Q13873	34	1
Q9NZJ5	35	0
P57078	36	0
P53350	37	0
P36507	38	1
Q8TF76	39	0
Q13523	40	0
P49841	41	1
Q9NYV4	42	1
P50750	43	0
Q2M2I8	44	1
Q9NQU5	45	0
Q00535	46	0
Q14004	47	0
Q96SB4	48	1
Q86Y07	49	0
Q9NSY1	50	1
O96013	51	0
P11802	52	0
Q9Y463	53	0
Q9NR20	54	0
Q92630	55	0
Q9H422	56	0
O43781	57	0
Q86Z02	58	1
P49759	59	1
Q13627	60	0
Q9H093	61	0
Q9HAZ1	62	0
Q9UQ07	63	0
Q9H2X6	64	0
Q8TDC3	65	0
Q9H0K1	66	0
Q52WX2	67	0
P53779	68	0
P45983	69	0
P28482	70	1
P45984	71	0
Q15759	72	0
P27361	73	1
Q13164	74	0
O15264	75	0
Q9UBE8	76	0
P49336	77	0
P53778	78	0
Q12852	79	0
P49137	80	0
Q16644	81	0
Q13554	82	0
Q8IW41	83	0
Q15139	84	0
Q9BZL6	85	1
O14757	86	0
P34947	87	0
Q9UQM7	88	0
P15056	89	1
Q13557	90	0
O96017	91	0
O14965	92	0
O43353	93	0
Q86YV6	94	0
Q96PF2	95	0
Q9BXA6	96	0
Q16512	97	1
Q32MK0	98	0
Q15746	99	0
Q96J92	100	0
Q9Y5S2	101	0
P04049	102	0
P49840	103	0
Q96Q15	104	0
Q13043	105	1
Q96QT4	106	0
P27448	107	0
Q9UEW8	108	0
Q8IWQ3	109	0
Q9BX84	110	0
P54646	111	0
Q13131	112	1
Q14012	113	0
O94806	114	0
Q14680	115	1
Q8IU85	116	0
O43683	117	0
O76039	118	0
P42345	119	0
Q9BXM7	120	0
P78527	121	0
Q00534	122	0
Q15131	123	0
Q9UPE1	124	0
Q00526	125	0
P78362	126	0
P06493	127	0
P24941	128	0
Q02750	129	0
Q9H4B4	130	0
P36896	131	0
Q13315	132	0
P27037	133	0
P68400	134	0
P19784	135	0
O75716	136	0
Q9P289	137	0
P50613	138	1
Q8TAS1	139	0
Q9BWU1	140	0
P49674	141	0
Q8NE63	142	0
Q8IXL6	143	0
P43250	144	0
Q13555	145	0
Q04771	146	0
P36897	147	0
Q96QP1	148	0
Q8WTQ7	149	0
Q13705	150	0
P36894	151	0
Q96S44	152	0
P00540	153	0
O14874	154	0
Q8TD08	155	0
Q00537	156	1
O94921	157	0
O60285	158	0
Q96NX5	159	0
Q13546	160	0
P51617	161	0
P49760	162	0
Q5S007	163	0
Q9UL54	164	0
Q7L7X3	165	0
Q9H2G2	166	1
Q96RR4	167	0
O43318	168	1
O94804	169	1
O95747	170	0
Q9P286	171	0
Q8N5S9	172	0
Q86SG6	173	0
P23443	174	1
Q86V86	175	0
Q96KB5	176	1
O14976	177	0
Q8TDX7	178	0
Q13177	179	0
Q96GD4	180	0
Q13535	181	0
Q9NYY3	182	0
Q9NY57	183	0
Q9Y6M4	184	0
P25098	185	0
P35626	186	0
P48730	187	1
Q9Y572	188	0
Q9UQB9	189	0
Q9P1W9	190	0
Q9UEE5	191	1
Q56UN5	192	0
Q9P2K8	193	0
P80192	194	0
Q8WXR4	195	0
Q05513	196	0
O95819	197	0
Q13163	198	0
Q9UKE5	199	0
Q8NEV4	200	0
Q07002	201	0
Q00536	202	1
Q5TCX8	203	0
Q16584	204	0
P49761	205	0
Q9UPZ9	206	0
Q96L34	207	1
Q9P0L2	208	0
Q7KZI7	209	1
P57058	210	0
Q9Y2K2	211	0
Q15831	212	0
Q9BXA7	213	0
Q76MJ5	214	0
Q16513	215	1
Q99986	216	0
Q9BUB5	217	0
Q04759	218	0
P24723	219	0
Q02156	220	0
Q13976	221	0
Q09013	222	0
Q05655	223	0
Q00532	224	0
Q9BYT3	225	0
Q9UBS0	226	0
O14578	227	1
Q15349	228	0
O15530	229	1
Q16816	230	0
P19525	231	1
P51956	232	0
P48729	233	0
P20794	234	0
O75385	235	1
P57059	236	1
Q9UIK4	237	0
O43293	238	0
P11309	239	0
Q15208	240	0
O00238	241	0
Q9H2K8	242	0
Q15418	243	1
Q8N568	244	0
O15075	245	0
Q6P5Z2	246	0
Q96GX5	247	1
O00141	248	0
Q86UE8	249	1
Q9HC98	250	0
Q8TD19	251	1
Q6P3R8	252	0
Q6ZN16	253	0
Q9H1R3	254	0
P51817	255	0
P22694	256	0
Q6P2M8	257	0
P78368	258	0
P53355	259	0
P51812	260	0
O75582	261	0
O75676	262	1
Q16566	263	0
Q9Y243	264	0
Q9Y2U5	265	0
Q8IY84	266	0
Q99759	267	0
O00506	268	0
Q5VT25	269	0
O75116	270	0
P22612	271	0
P17612	272	1
Q13153	273	1
Q6XUX3	274	0
Q9Y6E0	275	0
P51955	276	0
O00418	277	1
Q13188	278	1
P05129	279	0
Q12851	280	0
Q8N752	281	0
P15735	282	0
Q9H4A3	283	1
Q9NWZ3	284	0
P41743	285	1
P41279	286	0
Q13237	287	0
Q96BR1	288	0
P17252	289	0
